,Name of institution,Designated learning institution number (DLI #),City,Campuses,Offers PGWP-eligible programs
355,Peak Healthcare Private College,O259226180682,Toronto,Toronto,No
356,Peel College of Professional Studies,O267984044962,Mississauga,Mississauga,No
357,Petrel College of Technology,O246148742007,Toronto,Toronto,No
358,Pharma-Medical Science College of Canada,O19283879782,Toronto,Toronto,No
359,Prime International College of Healthcare and Technology,O152747113602,Toronto,Toronto,No
360,Protégé School,O19332956402,Toronto,Toronto,No
361,Pures College of Technology,O19305393392,Scarborough,Scarborough,No
362,Queen's Language School,O255779881147,Toronto,Toronto,No
363,"Queen’s College of Business, Technology & Public Safety",O119539592517,Mississauga,"Mississauga, Scarborough Campus",No
364,Queen’s University,O19376023352,Kingston,Main Campus,Yes
365,Queen’s University,O19376023352,Toronto,Queen’s School of Business Toronto Facility,Yes
366,Quest Language Studies,O19375993682,Toronto,Toronto,No
367,"RAC Digital Arts College, Recording Arts Canada",O19304530972,Toronto,Toronto,No
368,Redeemer University,O19395677559,Ancaster,Ancaster,Yes(details)
369,Regis College,O19358972972,Toronto,Toronto,Yes
370,Renison University College,O19395281561,Waterloo,Waterloo,Yes
371,Royal Canadian College of Massage Therapy Inc.,O247790815707,Toronto,Toronto,No
372,Royal Canadian Institute of International Studies,O19440339342,Toronto,Toronto,No
373,Royal Crown College of Business and Technology,O242531216037,Markham,Markham,No
374,Royal Military College of Canada,O19993856974,Kingston,Kingston,Yes
375,Rudolf Steiner College Canada for Anthroposophy *Waldorf Education* Arts,O255214515817,Thornhill,Thornhill,No
376,Sault College,O19395677683,Sault Ste. Marie,Main Campus,Yes
377,Sault College,O19395677683,Sudbury,Collège Boréal d’arts appliqués et de technologie (Collaborative),Yes
378,Sault College,O19395677683,Toronto,Collège Boréal d’arts appliqués et de technologie (Collaborative),Yes
379,Sault College of Applied Arts and Technology at Trios College,O264224031432,Brampton,Trios College - Brampton Campus,No (details)
380,Sault College of Applied Arts and Technology at Trios College Business Technology Healthcare Inc.,O146028559284,Toronto,Toronto,No (details)
381,School of Photographic Arts Ottawa,O264423058712,Ottawa,Ottawa,No
382,Seneca College,O19395536013,Markham,Markham Campus,Yes
383,Seneca College,O19395536013,Peterborough,Peterborough Campus,Yes
384,Seneca College,O19395536013,King City,King Campus,Yes
385,Seneca College,O19395536013,Toronto,"Jane Campus, Newnham Campus, Seneca @ York Campus, Yorkgate Campus",Yes
386,Sheridan College,O19385946782,Mississauga,Hazel McCallion Campus,Yes
387,Sheridan College,O19385946782,Brampton,Davis Campus,Yes
388,Sheridan College,O19385946782,Oakville,Oakville - Trafalgar Campus,Yes
389,Sheridan College at Canadian College of Technology and Trades,O158601051382,Fort Erie,Fort Erie,No (details)
390,Six Nations Polytechnic,O19395164991,Ohsweken,Ohsweken,"Yes (details
for Six Nations Polytechnic
)"
391,Sol Schools International,O19517393412,Toronto,Toronto,No
392,Southeast College,O145024872092,Weyburn Estevan,Weyburn Estevan,Yes
393,Southern Ontario Dental College,O110123916630,Ancaster,Ancaster,No
394,Spectrum Airways,O117793705737,Burlington,Burlington,Yes (details)
395,Spectrum Airways,O117793705737,Parry Sound,Parry Sound,"Yes (details
for Flight schools
)"
396,"Springfield College of Healthcare, Management & Technology",O268300833522,Brampton,Brampton,No
397,Sprott Shaw Language College (Ontario) Corp.,O19395083755,Toronto,Toronto,No
398,St. Augustine’s Seminary of Toronto,O19361100382,Toronto,Toronto Campus,Yes
399,St. Augustine’s Seminary of Toronto,O19361100382,Scarborough,Scarborough Campus,Yes
400,St. Clair College,O19395083703,Chatham,Thames Campus,Yes
401,St. Clair College,O19395083703,Windsor,"St. Clair College Centre for the Arts, Windsor Campus",Yes
402,St. Clair College at Ace Acumen Academy,O297981200215,Brampton,Brampton,No (details)
403,St. Clair College at Ace Acumen Academy,O297981200215,Toronto,Toronto,No (details)
404,St. Clair College at Ace Acumen Academy,O297981200215,Mississauga,Mississauga,No (details)
405,St. George International College,O212206178197,Toronto,Toronto,No
406,St. Jerome’s University (University of Waterloo),O19305471522,Waterloo,Waterloo,Yes
407,St. Lawrence College,O19332845222,Brockville,Brockville,Yes
408,St. Lawrence College,O19332845222,Cornwall,Cornwall,Yes
409,St. Lawrence College,O19332845222,Kingston,Kingston,Yes
410,St. Lawrence College at Alpha College of Business and Technology,O297979793412,Scarborough,Scarborough,No (details)
411,St. Paul’s University College (University of Waterloo),O19305471522,Waterloo,Waterloo,Yes
412,St. Philip’s Seminary / The Oratory of St. Philip Neri-Toronto,O111916829547,Toronto,"Dunn Avenue, King Street West",Yes(details)
413,Stanford International College of Business and Technology,O19332546352,Brampton,Brampton,No
414,Stanford International College of Business and Technology,O19332546352,Mississauga,Mississauga,No
415,Stanford International College of Business and Technology,O19332546352,Toronto,"Scarborough Campus, Toronto Campus",No
416,Stratford Air Services Ltd.,O119062742467,Stratford,Stratford,"Yes (details
for Flight schools
)"
417,Sunview College Business Technology Healthcare,O19395164201,Toronto,Toronto,No
418,Sunview College Business Technology Healthcare,O19395164201,Brampton,Brampton,No
419,Sunview College Business Technology Healthcare,O19395164201,Mississauga,Mississauga,No
420,Sunview College Business Technology Healthcare,O19395164201,Scarborough,Scarborough,No
421,"TAHA College of Beauty, Business, Health & Technology",O136467574022,Scarborough,Scarborough,No
422,Tamwood Careers,O19375949112,Toronto,Toronto,No
423,Tamwood International College Ltd.,O19375949112,Toronto,Toronto,No
424,Tamwood Language Centres,O19375949112,Toronto,Toronto,No
425,The Aesthetics and Hairstyling College of Canada,O259416765842,Vaughan,Vaughan,No
426,The Audio Recording Academy (T.A.R.A),O19369394582,Ottawa,Ottawa Campus,No
427,The Automotive Training Centre (Ontario) Ltd.,O19527255662,Toronto,"Toronto Campus, Cambridge Campus",No
428,The Create Institute,O19396261319,Toronto,Toronto,No
429,The Language Gallery,O129472251057,Toronto,Toronto,No
430,The Michener Institute for Applied Health Sciences,O19395677373,Toronto,Toronto,Yes
431,The Royal Conservatory of Music,O19396019573,Toronto,Toronto,Yes(details)
432,The School of Toronto Dance Theatre,O110123589585,Toronto,Toronto,No
433,Thompson Career College of Health and Business,O148513161382,"Mississauga, Markham, London","Mississauga, Markham, London",No
434,Top Toques Institute of Culinary Excellence,O260428979632,Kitchener,Kitchener,No
435,"Torbram College of Business, Technology & Healthcare",O212620403467,Brampton,Brampton,No
436,Toronto Airways Inc.,O19304162252,Markham,Markham,"Yes (details
for Flight schools
)"
437,Toronto Art Therapy Institute,O19395084047,Toronto,Toronto,No
438,Toronto Baptist Seminary and Bible College,O19332993322,Toronto,Toronto,Yes(details)
439,Toronto Business College,O118334609637,Toronto,Toronto,No
440,Toronto College of Dental Hygiene and Auxiliaries Inc.,O19395084089,"Toronto
North York","Toronto Campus
North York",No
441,Toronto Economics and Management College,O142167031052,Toronto,Toronto,No
442,Toronto Film School,O19396019511,Toronto,"460 Yonge Street, Unit 3,
415 Yonge Street, Unit 800,
10 Dundas Street East, Unit 704",Yes (details)
443,Toronto Film School at Yorkville University,O19396019511,Toronto,"460 Yonge Street, Unit 3,
415 Yonge Street, Unit 800,
10 Dundas Street East, Unit 704",Yes (details)
444,Toronto Innovation College,O19361300542,Mississauga,Mississauga,No
445,Toronto Institute of Pharmaceutical Technology,O19517075012,Toronto,Toronto,No
446,Toronto International Business College,O19316512192,Scarborough,"Scarborough, Toronto",No
447,Toronto Metropolitan University (TMU),O19395677651,Toronto,Toronto,Yes
448,Toronto Metropolitan University International College,O265759963292,Toronto,Toronto,No
449,Toronto School of Management,O131394510557,Toronto,Toronto,No
450,Toronto School of Traditional Chinese Medicine,O244866794117,Toronto,Toronto,No
451,Travel College Canada,O19303969142,Toronto,Toronto,No
452,Trebas Institute,O19375919832,Toronto,Toronto,No
453,Trent University,O19395164223,Oshawa,Trent University Durham,Yes
454,Trent University,O19395164223,Peterborough,Main Campus,Yes
455,Trillium College,O19532727322,Oshawa,Oshawa,No
456,Trillium College,O19532727322,St. Catharines,St. Catharines,No
457,Trillium Esthetic & Hair Technology College,O19332628162,Mississauga,Mississauga,No
458,TriOS College Business Technology Healthcare Inc.,O19361101002,Ottawa,Ottawa,No
459,triOS College Business Technology Healthcare Inc.,O19361101002,Brampton,Brampton Campus,No
460,triOS College Business Technology Healthcare Inc.,O19361101002,Hamilton,Hamilton Campus,No
461,triOS College Business Technology Healthcare Inc.,O19361101002,Kitchener,Kitchener Campus,No
462,triOS College Business Technology Healthcare Inc.,O19361101002,London,London Campus,No
463,triOS College Business Technology Healthcare Inc.,O19361101002,Mississauga,Mississauga Campus,No
464,triOS College Business Technology Healthcare Inc.,O19361101002,Windsor,Windsor Campus,No
465,triOS College Business Technology Healthcare Inc.,O19361101002,Toronto,St. Catharines,No
466,Tyndale University,O19711152427,Toronto,Bayview Campus,Yes(details)
467,UMS Healthcare College,O146692187902,North York,,No
468,Université de Hearst,O19395677925,Hearst,Campus de Hearst,Yes
469,Université de Hearst,O19395677925,Kapuskasing,Campus de Kapuskasing,Yes
470,Université de Hearst,O19395677925,Timmins,Campus de Timmins,Yes
471,Université de l'Ontario français,O146030735072,Toronto,Toronto,Yes
472,Université d’Ottawa/University of Ottawa,O19397188593,Ottawa,"Algonquin College of Applied Arts and Technology (Collaborative), La Cité Collégiale (Collaborative), Main Campus",Yes
473,Université d’Ottawa/University of Ottawa,O19397188593,Pembroke,Algonquin College of Applied Arts and Technology (Collaborative),Yes
474,Université d’Ottawa/University of Ottawa,O19397188593,Windsor,Université d’Ottawa/University of Ottawa,Yes
475,Université d’Ottawa/University of Ottawa,O19397188593,Toronto,Université d’Ottawa/University of Ottawa,Yes
476,Université Saint-Paul/St. Paul University,O19395164265,Ottawa,Ottawa,Yes
477,University of Guelph,O19305391192,Guelph,Main Campus,Yes
478,University of Guelph,O19305391192,Toronto,University of Guelph-Humber,Yes
479,University of Guelph,O19305391192,Alfred,Campus d’Alfred,Yes
480,University of Guelph,O19305391192,Kemptville,Kemptville Campus,Yes
481,University of Guelph,O19305391192,Ridgetown,Ridgetown Campus,Yes
482,University of Niagara Falls Canada,O287430643972,Niagara Falls,Niagara Falls,Yes
483,University of St. Michael’s College,O19303916042,Toronto,Toronto,Yes
484,University of Toronto,O19332746152,Mississauga,Mississauga,Yes
485,University of Toronto,O19332746152,Toronto,"Main Campus, Scarborough Campus",Yes
486,University of Trinity College,O211893245447,Toronto,"University of Toronto - Hoskin Avenue, University of Toronto - Devonshire Place",Yes
487,University of Waterloo,O19305471522,Breslau,Wellington Flight Centre Campus (Aviation),Yes
488,University of Waterloo,O19305471522,Cambridge,School of Architecture,Yes
489,University of Waterloo,O19305471522,Waterloo,"Allen Square Campus, Balsillie School of International Affairs, Main Campus",Yes
490,University of Waterloo,O19305471522,Stratford,Stratford Campus,Yes
491,University of Waterloo,O19305471522,Toronto,Master of Taxation Site,Yes
492,University of Windsor,O19358946722,Windsor,Windsor,Yes
493,Upper Highland College of Business and Technology,O19305393392,Mississauga,Mississauga,No
494,Upper Madison College of Advanced Language Learning and Skill Development,O19529728922,Toronto,Advanced Learning Centre,No
495,Victoria College in Victoria University (University of Toronto),O19332746152,Toronto,Toronto,Yes
496,Victoria International College of Business and Technology,O160186511852,Toronto,Toronto,No
497,Waterloo Lutheran Seminary (Wilfred Laurier University),O19395164307,Waterloo,Waterloo,Yes
498,Waterloo Wellington Flight Centre,O19333179582,Breslau,Breslau,"Yes (details
for Flight schools
)"
499,Western University,O19375892122,London,The University of Western Ontario,Yes
500,Westfield English Language School,O269147343492,Toronto,Toronto,No
501,Westfield Institute of Technology,O269147343492,North York,North York,No
502,Wilfrid Laurier International College,O266847818492,Brantford,N/A,No
503,Wilfrid Laurier University,O19395164307,Brantford,Brantford Campus,Yes
504,Wilfrid Laurier University,O19395164307,Kitchener,Kitchener Location,Yes
505,Wilfrid Laurier University,O19395164307,Toronto,Toronto Location,Yes
506,Wilfrid Laurier University,O19395164307,Waterloo,Main Campus,Yes
507,"Willis College of Business, Technology, Healthcare",O19316160382,Ottawa,Ottawa Campus,No
508,Willowbank School of Restoration Arts,O19833559557,Queenston,Queenston,No
509,Windsor Career College,O268556002972,Windsor,"Windsor, Etobicoke",No
510,Word of Life Bible Institute,O132628724777,Owen Sound,Owen Sound,No
511,World Chinese Medicine and Acupuncture College,O262955887992,Scarborough,Scarborough,No
512,Wycliffe College,O19572552822,Toronto,Toronto,Yes
513,York College of Applied Studies,O275157104632,Mississauga,Mississauga,No
514,York Construction Academy,O136037464242,Toronto,Toronto,No
515,York Entrepreneurship Development Institute (YEDI),O152143391102,Toronto,Toronto,No
516,York University,O19361109242,Toronto,"Campus Glendon, Campus principal, Miles S. Nadal Management Centre, Osgoode Hall Law School, Schulich Executive Education (Schulich ExecEd)",Yes
517,Yorkville University,O19396019511,Concord,Concord Campus,"Yes (details
for Yorkville University/Toronto Film School
)"
